Text Inputs : Specimen label,"2.165"
General : Start Date,1/28/2011 12:46 PM
General : End Date,1/28/2011 12:48 PM
Maximum Compressive load : Maximum Compressive load,9.57026,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,1.00370,MPa

Time,Extension,Load
(sec),(mm),(N)
34.80000,-0.05802,-0.00181
34.90000,-0.05819,0.00085
35.00000,-0.05836,-0.00489
35.10000,-0.05852,-0.00233
35.20000,-0.05869,0.00137
35.30000,-0.05886,-0.00211
35.40000,-0.05903,0.00323
35.50000,-0.05919,-0.00283
35.60000,-0.05935,0.00290
35.70000,-0.05953,-0.00128
35.80000,-0.05969,-0.00286
35.90000,-0.05986,-0.00467
36.00000,-0.06002,-0.00451
36.10000,-0.06019,0.00189
36.20000,-0.06036,-0.00161
36.30000,-0.06052,-0.00279
36.40000,-0.06069,0.00139
36.50000,-0.06086,0.00050
36.60000,-0.06103,0.00164
36.70000,-0.06119,0.00153
36.80000,-0.06136,-0.00303
36.90000,-0.06153,-0.00309
37.00000,-0.06169,-0.00073
37.10000,-0.06186,-0.00151
37.20000,-0.06202,-0.00289
37.30000,-0.06219,0.00190
37.40000,-0.06236,0.00003
37.50000,-0.06252,0.00184
37.60000,-0.06270,-0.00120
37.70000,-0.06286,-0.00268
37.80000,-0.06303,-0.00210
37.90000,-0.06319,-0.00354
38.00000,-0.06336,-0.00062
38.10000,-0.06353,-0.00272
38.20000,-0.06369,0.00260
38.30000,-0.06386,0.00033
38.40000,-0.06402,-0.00086
38.50000,-0.06419,-0.00522
38.60000,-0.06436,-0.00348
38.70000,-0.06452,-0.00281
38.80000,-0.06469,0.00273
38.90000,-0.06485,-0.00139
39.00000,-0.06503,-0.00297
39.10000,-0.06519,-0.00284
39.20000,-0.06535,0.00035
39.30000,-0.06552,0.00111
39.40000,-0.06568,-0.00292
39.50000,-0.06585,-0.00348
39.60000,-0.06602,-0.00507
39.70000,-0.06618,0.00010
39.80000,-0.06635,0.00240
39.90000,-0.06651,-0.00064
40.00000,-0.06668,-0.00209
40.10000,-0.06686,0.00222
40.20000,-0.06702,-0.00076
40.30000,-0.06718,-0.00312
40.40000,-0.06735,-0.00388
40.50000,-0.06752,-0.00224
40.60000,-0.06769,0.00100
40.70000,-0.06785,0.00061
40.80000,-0.06802,0.00255
40.90000,-0.06819,-0.00348
41.00000,-0.06835,-0.00064
41.10000,-0.06852,-0.00166
41.20000,-0.06868,-0.00128
41.30000,-0.06885,-0.00683
41.40000,-0.06902,-0.00657
41.50000,-0.06919,-0.00169
41.60000,-0.06935,0.00048
41.70000,-0.06952,0.00111
41.80000,-0.06968,-0.00104
41.90000,-0.06985,0.00031
42.00000,-0.07001,-0.00407
42.10000,-0.07018,-0.00152
42.20000,-0.07035,-0.00620
42.30000,-0.07051,-0.00488
42.40000,-0.07069,0.00086
42.50000,-0.07085,-0.00177
42.60000,-0.07102,-0.00035
42.70000,-0.07118,0.00036
42.80000,-0.07135,-0.00084
42.90000,-0.07152,-0.00303
43.00000,-0.07168,-0.00138
43.10000,-0.07185,-0.00337
43.20000,-0.07201,-0.00579
43.30000,-0.07218,-0.00130
43.40000,-0.07235,-0.00157
43.50000,-0.07251,-0.00174
43.60000,-0.07269,0.00035
43.70000,-0.07285,0.00206
43.80000,-0.07302,0.00020
43.90000,-0.07319,0.00072
44.00000,-0.07336,-0.00816
44.10000,-0.07352,-0.00512
44.20000,-0.07368,-0.00205
44.30000,-0.07385,0.00073
44.40000,-0.07401,-0.00195
44.50000,-0.07419,-0.00055
